Algorithm;FunctionName;Trials;Dimension;MaxIterations;PopulationSize;LowerBoundary;UpperBoundary;SearchedMinimum;BestFitness;BestSolution;ResultType
JSO;Rastrigin;10;2;50;30;-5.12;5.12;0.0;0.0009723387247433379;(0.0015654289499495988, 0.0015654289499495988);BEST
JSO;Rastrigin;10;2;50;30;-5.12;5.12;0.0;2.54123430895714;(1.032282515809741, 1.032282515809741);WORST
JSO;Rastrigin;10;2;50;50;-5.12;5.12;0.0;0.08166098346388395;(0.01435081361200563, 0.01435081361200563);BEST
JSO;Rastrigin;10;2;50;50;-5.12;5.12;0.0;2.0053243494348614;(-0.038897397985382054, -0.9345699605523209);WORST
JSO;Rastrigin;10;2;50;100;-5.12;5.12;0.0;0.012154931079390252;(0.005535041158861276, 0.005535041158861276);BEST
JSO;Rastrigin;10;2;50;100;-5.12;5.12;0.0;1.1915809195582305;(1.0152614514515625, -0.024086995149008687);WORST
JSO;Rastrigin;10;2;100;30;-5.12;5.12;0.0;0.012360490105187694;(-0.006616527477010942, 0.004304916183850982);BEST
JSO;Rastrigin;10;2;100;30;-5.12;5.12;0.0;2.1303930693552218;(-0.08297578463256666, -0.06372415898447359);WORST
JSO;Rastrigin;10;2;100;50;-5.12;5.12;0.0;0.005152659929571257;(-0.0036036931060774435, -0.0036036931060774435);BEST
JSO;Rastrigin;10;2;100;50;-5.12;5.12;0.0;1.5692843587579617;(1.0447266994996776, -0.02077971454857286);WORST
JSO;Rastrigin;10;2;100;100;-5.12;5.12;0.0;0.1416337318494243;(0.018904283468918592, -0.018904283468918592);BEST
JSO;Rastrigin;10;2;100;100;-5.12;5.12;0.0;1.0884912434246417;(0.012579671673213166, 1.0126616515305145);WORST
JSO;Rastrigin;10;2;500;30;-5.12;5.12;0.0;0.00011108253587366335;(0.0005291099392961129, 0.000529109939316541);BEST
JSO;Rastrigin;10;2;500;30;-5.12;5.12;0.0;1.228881548949559;(-0.9654073615308432, -0.017628331910035655);WORST
JSO;Rastrigin;10;2;500;50;-5.12;5.12;0.0;1.1504748716362201e-05;(0.00017047541411852052, 0.00017008261521667123);BEST
JSO;Rastrigin;10;2;500;50;-5.12;5.12;0.0;0.20126840361885812;(-0.022540930143489568, 0.022540930143489568);WORST
JSO;Rastrigin;10;2;500;100;-5.12;5.12;0.0;7.046316128977992e-05;(0.00042140920330524523, 0.00042140920330524523);BEST
JSO;Rastrigin;10;2;500;100;-5.12;5.12;0.0;0.17163222466583505;(0.006106512971477851, -0.028811183422629616);WORST
JSO;Rastrigin;10;2;1000;30;-5.12;5.12;0.0;8.312915028341195e-06;(0.00014454035734451365, 0.00014494665324149558);BEST
JSO;Rastrigin;10;2;1000;30;-5.12;5.12;0.0;0.29954385197461164;(0.03528715985978914, 0.016431054914216592);WORST
